Top 3 Densed Cluster : 
Cluster Id - 3
[{tweetId:3, tweet:happy thanksgiving today thankful best friends, groundTruth:0, assignedCluster:3}
, {tweetId:85, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:92, tweet:canadian thankful happy thanksgiving respect, groundTruth:0, assignedCluster:3}
, {tweetId:93, tweet:right chef coat, groundTruth:0, assignedCluster:3}
, {tweetId:94, tweet:jon sylvia yard dare say rout uxbridge top state championship gamebound northbridge 2814, groundTruth:0, assignedCluster:3}
, {tweetId:96, tweet:making changes api letting customers know breaking integrations, groundTruth:0, assignedCluster:3}
, {tweetId:100, tweet:caught ivan tran emilio cantone seniors yearsaid surprised happy team, groundTruth:0, assignedCluster:3}
, {tweetId:107, tweet:happy thanksgiving quick shout kid got home sleep couch minute saint #blessed #gopats, groundTruth:0, assignedCluster:3}
, {tweetId:111, tweet:happy thanksgiving #gobblegobble, groundTruth:0, assignedCluster:3}
, {tweetId:119, tweet:things thankful picture happy thanksgiving #turkeyday #thankful, groundTruth:0, assignedCluster:3}
, {tweetId:120, tweet:love thankful happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:132, tweet:thanksgiving watching star wars movies austin roommates lol, groundTruth:0, assignedCluster:3}
, {tweetId:138, tweet:thankful man #cheers happy thanksgiving revere massachusetts, groundTruth:0, assignedCluster:3}
, {tweetId:142, tweet:listening fire flames justin bieber motherfuckin jams blood flowing right, groundTruth:0, assignedCluster:3}
, {tweetId:151, tweet:thanksgiving adventures gap mountain, groundTruth:0, assignedCluster:3}
, {tweetId:152, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:162, tweet:happy thanksgiving benjamin clan #thevineyard #family #allaboutthebenjamins2015 martha, groundTruth:0, assignedCluster:3}
, {tweetId:166, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:167, tweet:good morning happy happy thanksgiving menu, groundTruth:0, assignedCluster:3}
, {tweetId:173, tweet:phone forever correct thanksgiving danksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:189, tweet:going shopping tonight take, groundTruth:0, assignedCluster:3}
, {tweetId:190, tweet:happy thanksgiving stay safe, groundTruth:0, assignedCluster:3}
, {tweetId:191, tweet:possibly opposite direction hang tho, groundTruth:0, assignedCluster:3}
, {tweetId:192, tweet:happy 3 months love bugggggggggggggggggggg, groundTruth:0, assignedCluster:3}
, {tweetId:197, tweet:appreciate happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:198, tweet:thankful troops make home thanksgiving busy protecting deserve tweet, groundTruth:0, assignedCluster:3}
, {tweetId:203, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:204, tweet:wish guests employees safe healthy thanksgiving #gobblegobble #thanksgiving #turkey #spuds, groundTruth:0, assignedCluster:3}
, {tweetId:206, tweet:cameron thanksgiving football game rocking press row w guys, groundTruth:0, assignedCluster:3}
, {tweetId:209, tweet:drink entire bottle white wine noon 43 minutes, groundTruth:0, assignedCluster:3}
, {tweetId:211, tweet:happy thanksgiving enjoy, groundTruth:0, assignedCluster:3}
, {tweetId:222, tweet:thanksgiving breakfast champions fenway park, groundTruth:0, assignedCluster:3}
, {tweetId:223, tweet:tell lip syncing parade, groundTruth:0, assignedCluster:3}
, {tweetId:225, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:226, tweet:rushed look starry skymy spaceship made strange noise announced thanksgiving happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:232, tweet:favorite part thanksgiving macy thanksgiving parade football, groundTruth:0, assignedCluster:3}
, {tweetId:238, tweet:macy parade basically 3 hour advertisement padded lip syncing dancers, groundTruth:0, assignedCluster:3}
, {tweetId:246, tweet:happy thanksgiving #nuggets #happythankgiving #izzyandaidan crooked lair, groundTruth:0, assignedCluster:3}
, {tweetId:251, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:253, tweet:happy thanksgiving everyoneee thankful family, groundTruth:0, assignedCluster:3}
, {tweetId:254, tweet:al roker narrating macy thanksgiving parade #whyimthankful, groundTruth:0, assignedCluster:3}
, {tweetId:257, tweet:grateful getting ready host, groundTruth:0, assignedCluster:3}
, {tweetId:264, tweet:wish nfl rescheduled give better games thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:268, tweet:happy thanksgiving yo, groundTruth:0, assignedCluster:3}
, {tweetId:269, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:270, tweet:happy driving ford, groundTruth:0, assignedCluster:3}
, {tweetId:271, tweet:happy birthday brian good happy thanksgivingur mrsc favorite child, groundTruth:0, assignedCluster:3}
, {tweetId:283, tweet:thankful amazing friends family grandpa treatment going wellhappy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:284, tweet:don thanksgiving mean food part great idk cause don family house, groundTruth:0, assignedCluster:3}
, {tweetId:300, tweet:rain smell happy smell paradise god made live breathe fragrance vrdosha, groundTruth:0, assignedCluster:3}
, {tweetId:309, tweet:fatty hamster pepe says happy thanksgiving #stuffmyface #foodbaby #wakawaka #burp #foodcoma, groundTruth:0, assignedCluster:3}
, {tweetId:328, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:341, tweet:happy thanksgiving #fantasyfootball questions, groundTruth:0, assignedCluster:3}
, {tweetId:343, tweet:caught preaching, groundTruth:0, assignedCluster:3}
, {tweetId:344, tweet:straight move bed touch thanksgiving eve touch #thanksgivingevestrong #4yearsofheaven, groundTruth:0, assignedCluster:3}
, {tweetId:349, tweet:bout chug dayquil make thanksgiving dinner bitch #happyturkeydaybitchez, groundTruth:0, assignedCluster:3}
, {tweetId:350, tweet:going ask pic digress happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:374, tweet:awesome happy families, groundTruth:0, assignedCluster:3}
, {tweetId:386, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:387, tweet:lolenjoy happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:392, tweet:came happy thanksgiving asleep, groundTruth:0, assignedCluster:3}
, {tweetId:393, tweet:smoke weed eat chill, groundTruth:0, assignedCluster:3}
, {tweetId:394, tweet:oh boy come chain group happy thanksgiving texts, groundTruth:0, assignedCluster:3}
, {tweetId:397, tweet:happy thanksgiving #thanksgiving #patriots #family #food #turkey #love, groundTruth:0, assignedCluster:3}
, {tweetId:398, tweet:artistic director reserve right preview mass consumption, groundTruth:0, assignedCluster:3}
, {tweetId:408, tweet:damien doesn thanksgiving made dress nice, groundTruth:0, assignedCluster:3}
, {tweetId:415, tweet:tweet vote count #mayhemtweetoff georgia tech #burstgeorgia, groundTruth:0, assignedCluster:3}
, {tweetId:417, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:419, tweet:happy thanksgiving swanny #fighton, groundTruth:0, assignedCluster:3}
, {tweetId:422, tweet:happy thanksgiving standish maine, groundTruth:0, assignedCluster:3}
, {tweetId:423, tweet:happy 3 months baby, groundTruth:0, assignedCluster:3}
, {tweetId:425, tweet:indulgeenjoyand workout happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:430, tweet:lol give respect sticking team good thanksgiving fellas, groundTruth:0, assignedCluster:3}
, {tweetId:434, tweet:#sullivanstapleton happy thanksgiving team #blindspot, groundTruth:0, assignedCluster:3}
, {tweetId:435, tweet:happy thanksgiving #thanksgiving #turkey #iamthankfulfor, groundTruth:0, assignedCluster:3}
, {tweetId:436, tweet:smells coming oven right thanksgiving dinner lit, groundTruth:0, assignedCluster:3}
, {tweetId:438, tweet:sweet baby luca, groundTruth:0, assignedCluster:3}
, {tweetId:445, tweet:happy thanksgiving love, groundTruth:0, assignedCluster:3}
, {tweetId:448, tweet:sibling arizona thanksgiving c, groundTruth:0, assignedCluster:3}
, {tweetId:457, tweet:watching macy thanksgiving parade morning, groundTruth:0, assignedCluster:3}
, {tweetId:463, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:467, tweet:happy thanksgiving nephew kyden, groundTruth:0, assignedCluster:3}
, {tweetId:470, tweet:eatdrinkcount blessings workout happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:472, tweet:thanks sandy happy thanksgiving 3, groundTruth:0, assignedCluster:3}
, {tweetId:478, tweet:nice, groundTruth:0, assignedCluster:3}
, {tweetId:484, tweet:happy birthday, groundTruth:0, assignedCluster:3}
, {tweetId:485, tweet:spending thanksgiving painful, groundTruth:0, assignedCluster:3}
, {tweetId:488, tweet:taking preworkout thanksgiving jaw ripped, groundTruth:0, assignedCluster:3}
, {tweetId:495, tweet:happy thanksgiving friend got egg #smokeygoodness #ribs #foodporn #ribit #biggreenegg #smokeshow, groundTruth:0, assignedCluster:3}
, {tweetId:500, tweet:don malarkey thanksgiving food, groundTruth:0, assignedCluster:3}
, {tweetId:504, tweet:happy birthday tb missing lots, groundTruth:0, assignedCluster:3}
, {tweetId:514, tweet:thanksgiving high school football blood sweat tears #tradition marblehead high school, groundTruth:0, assignedCluster:3}
, {tweetId:518, tweet:grateful xoxo, groundTruth:0, assignedCluster:3}
, {tweetId:527, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:542, tweet:exciting interesting thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:543, tweet:happy birthday turkeys, groundTruth:0, assignedCluster:3}
, {tweetId:555, tweet:happy birthday caroline lunch interesting lysm great, groundTruth:0, assignedCluster:3}
, {tweetId:576, tweet:sounds interesting, groundTruth:0, assignedCluster:3}
, {tweetId:578, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:580, tweet:looks delich enjoy happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:583, tweet:happy thanksgiving love miss, groundTruth:0, assignedCluster:3}
, {tweetId:586, tweet:happy thanksgiving 2, groundTruth:0, assignedCluster:3}
, {tweetId:589, tweet:happy tanksgiving #escapeartist #houdini #happythanksgiving #alexanderiathegreat, groundTruth:0, assignedCluster:3}
, {tweetId:592, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:602, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:611, tweet:find car key cause god doesn eatin caesars thanksgiving smh lord forsaken, groundTruth:0, assignedCluster:3}
, {tweetId:612, tweet:imagine losing thanksgiving boston change especially innocent bystanders killed, groundTruth:0, assignedCluster:3}
, {tweetId:614, tweet:listening right work great sports radio show talking habs lot, groundTruth:0, assignedCluster:3}
, {tweetId:623, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:633, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:634, tweet:happy #thanksgiving #gopackgo, groundTruth:0, assignedCluster:3}
, {tweetId:637, tweet:great meet real great show especially 2nd set 1st set band drowning happy thanksgiving 3, groundTruth:0, assignedCluster:3}
, {tweetId:643, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:649, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:651, tweet:thirsty gonna mimosa happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:652, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:655, tweet:doesn thanksgivingwants thanksgiving dinner allen household welcomes, groundTruth:0, assignedCluster:3}
, {tweetId:672, tweet:marshalls open stop trying find way heard thanksgiving fenway park, groundTruth:0, assignedCluster:3}
, {tweetId:678, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:683, tweet:train event super bowls thanksgiving paradeswhy, groundTruth:0, assignedCluster:3}
, {tweetId:684, tweet:second row didn wake thanksgiving game #whoops, groundTruth:0, assignedCluster:3}
, {tweetId:686, tweet:happy birthday beautiful miss, groundTruth:0, assignedCluster:3}
, {tweetId:689, tweet:happy birthday potatoe don stupid legal, groundTruth:0, assignedCluster:3}
, {tweetId:693, tweet:happy thanksgiving #raidernation, groundTruth:0, assignedCluster:3}
, {tweetId:694, tweet:thanksgiving birds #eagles, groundTruth:0, assignedCluster:3}
, {tweetId:698, tweet:sangria stuffing right, groundTruth:0, assignedCluster:3}
, {tweetId:703, tweet:thank excellent coverage thanksgiving parade, groundTruth:0, assignedCluster:3}
, {tweetId:705, tweet:strolling grounds boston sisterfriend happy, groundTruth:0, assignedCluster:3}
, {tweetId:719, tweet:f tryin turn chef emerald bitch, groundTruth:0, assignedCluster:3}
, {tweetId:753, tweet:eaten dozen cookies happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:754, tweet:happening right avoiding today, groundTruth:0, assignedCluster:3}
, {tweetId:760, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:763, tweet:thanksgiving breakfast buffet players sports bar, groundTruth:0, assignedCluster:3}
, {tweetId:770, tweet:did pat benatar #macysparade #tbt appreciate happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:773, tweet:thankful newest addition new jersey devils happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:777, tweet:oh god make star wars talk stop don hear canon thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:779, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:781, tweet:ayyye good thanksgiving ak, groundTruth:0, assignedCluster:3}
, {tweetId:792, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:799, tweet:shefali look sister haven met man miss fali make smile, groundTruth:0, assignedCluster:3}
, {tweetId:812, tweet:thanksgiving hunt tradition new england appleton farms, groundTruth:0, assignedCluster:3}
, {tweetId:817, tweet:card specifically nfl applies, groundTruth:0, assignedCluster:3}
, {tweetId:824, tweet:remember jay telling preseason goal play thanksgiving returned field start playoffs great guy, groundTruth:0, assignedCluster:3}
, {tweetId:852, tweet:thanksgiving eat stomach explodes #happythanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:854, tweet:thanks homie happy thanksgiving gobble gobble, groundTruth:0, assignedCluster:3}
, {tweetId:858, tweet:thankful season families fans supporters nuvb happy thanksgiving huskies #gonu, groundTruth:0, assignedCluster:3}
, {tweetId:860, tweet:happy thanksgiving brotha, groundTruth:0, assignedCluster:3}
, {tweetId:867, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:871, tweet:happy thanksgiving train taken service, groundTruth:0, assignedCluster:3}
, {tweetId:873, tweet:happy, groundTruth:0, assignedCluster:3}
, {tweetId:875, tweet:enter gates thanksgiving courts praise give thanks praise name psamls 1004, groundTruth:0, assignedCluster:3}
, {tweetId:900, tweet:lol wo power thanksgiving #sendhelp, groundTruth:0, assignedCluster:3}
, {tweetId:909, tweet:families happy thanksgiving #grateful #graditude #givingthanks #family lincoln, groundTruth:0, assignedCluster:3}
, {tweetId:910, tweet:trooping thanksgiving thanksgiving dinner house wtf, groundTruth:0, assignedCluster:3}
, {tweetId:911, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:922, tweet:happy thanksgiving shamail, groundTruth:0, assignedCluster:3}
, {tweetId:928, tweet:happy thanksgiving bruh stay blessed eat good, groundTruth:0, assignedCluster:3}
, {tweetId:935, tweet:wished dad happy thanksgiving responded, groundTruth:0, assignedCluster:3}
, {tweetId:937, tweet:stay blessed g happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:948, tweet:thanksgiving race #2 fourmiler bishop brady 9 great school race director maureen kimball, groundTruth:0, assignedCluster:3}
, {tweetId:958, tweet:happy thanksgiving mane stay blessed eat good, groundTruth:0, assignedCluster:3}
, {tweetId:961, tweet:shock sick pregame thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:962, tweet:fun brief piece wrote gracefully lose political argument thanksgiving dinner fight polarization, groundTruth:0, assignedCluster:3}
, {tweetId:974, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:977, tweet:happy thanksgiving tweeps blessings families eat big home, groundTruth:0, assignedCluster:3}
, {tweetId:978, tweet:happy thanksgiving friends, groundTruth:0, assignedCluster:3}
, {tweetId:992, tweet:happy thanksgiving crestview country club, groundTruth:0, assignedCluster:3}
, {tweetId:996, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:999, tweet:happy thanksgiving pretty thankful life right food allowed eat today, groundTruth:0, assignedCluster:3}
, {tweetId:1003, tweet:happy thanksgiving travelers graphic provided cartoonist dwane powell, groundTruth:0, assignedCluster:3}
, {tweetId:1014, tweet:beautiful manning today take thanksgiving football rams, groundTruth:0, assignedCluster:3}
, {tweetId:1025, tweet:facial expression changes, groundTruth:0, assignedCluster:3}
, {tweetId:1026, tweet:happy thanks, groundTruth:0, assignedCluster:3}
, {tweetId:1037, tweet:happy thanksgiving cutiepie, groundTruth:0, assignedCluster:3}
, {tweetId:1041, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1046, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1048, tweet:xp wide right 3520 uxy leads northy, groundTruth:0, assignedCluster:3}
, {tweetId:1059, tweet:caught l, groundTruth:0, assignedCluster:3}
, {tweetId:1067, tweet:happy birthday, groundTruth:0, assignedCluster:3}
, {tweetId:1073, tweet:beautiful part looks yes gorgeous made truly irresistible mind, groundTruth:0, assignedCluster:3}
, {tweetId:1076, tweet:happy thanksgiving team boston common, groundTruth:0, assignedCluster:3}
, {tweetId:1077, tweet:thanksgiving sports bar grateful noise #haiku, groundTruth:0, assignedCluster:3}
, {tweetId:1083, tweet:night thanksgiving blurr, groundTruth:0, assignedCluster:3}
, {tweetId:1088, tweet:dad got new coffee machine happy thanksgiving y lexington massachusetts, groundTruth:0, assignedCluster:3}
, {tweetId:1089, tweet:happy thanksgiving tfxc family #gonu, groundTruth:0, assignedCluster:3}
, {tweetId:1104, tweet:thanksgiving history cliff note don trust white men, groundTruth:0, assignedCluster:3}
, {tweetId:1107, tweet:google says clery baseball tavern former street noticed saints action, groundTruth:0, assignedCluster:3}
, {tweetId:1110, tweet:thanksgiving isn anymore, groundTruth:0, assignedCluster:3}
, {tweetId:1113, tweet:happy birthday chanel find, groundTruth:0, assignedCluster:3}
, {tweetId:1116, tweet:happening train taken service gift thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1132, tweet:nice thanksgiving talk later, groundTruth:0, assignedCluster:3}
, {tweetId:1136, tweet:type long time ago galaxy away google search happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1144, tweet:excited thanksgiving holiday, groundTruth:0, assignedCluster:3}
, {tweetId:1145, tweet:happy thanksgiving #thankful, groundTruth:0, assignedCluster:3}
, {tweetId:1149, tweet:thanks chris happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1158, tweet:nice thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1170, tweet:happy thanksgiving englishhere loss # 78, groundTruth:0, assignedCluster:3}
, {tweetId:1174, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1176, tweet:#itsmydayoffand theaters tho hunger games, groundTruth:0, assignedCluster:3}
, {tweetId:1180, tweet:favorite cousin doesn show thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1187, tweet:did miss sometbing sing macy thanksgiving parade #macysthanksgivingdayparade upset, groundTruth:0, assignedCluster:3}
, {tweetId:1188, tweet:saints debate having meeting odette tournament procyk style, groundTruth:0, assignedCluster:3}
, {tweetId:1191, tweet:wishing family lovely thanksgiving #gratitude #thanksgiving #boston #publicgarden, groundTruth:0, assignedCluster:3}
, {tweetId:1193, tweet:thankful girl mary jane cause stoned tits happy thanksgiving people, groundTruth:0, assignedCluster:3}
, {tweetId:1198, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1202, tweet:happy thanksgiving angel, groundTruth:0, assignedCluster:3}
, {tweetId:1215, tweet:happy thanksgiving enjoy, groundTruth:0, assignedCluster:3}
, {tweetId:1216, tweet:happy thanksgiving #houndnation hoping enjoy spent family friends loved ones #alottobethankfulfor, groundTruth:0, assignedCluster:3}
, {tweetId:1221, tweet:happy thanksgiving xx, groundTruth:0, assignedCluster:3}
, {tweetId:1224, tweet:happy thanksgiving thankful love guys wonderful, groundTruth:0, assignedCluster:3}
, {tweetId:1228, tweet:lunch waterfront #bostonma #bostonusa #newengland #fanpier #waterfront #architecture, groundTruth:0, assignedCluster:3}
, {tweetId:1236, tweet:tell daily plans, groundTruth:0, assignedCluster:3}
, {tweetId:1249, tweet:finally made #wafflecross sleeping roflcross right yelling means fun crapping pants terror, groundTruth:0, assignedCluster:3}
, {tweetId:1256, tweet:interesting multinational grave site allied soldiers, groundTruth:0, assignedCluster:3}
, {tweetId:1261, tweet:latinenglish footballhappy thanksgiving englshmenhere loss # 78, groundTruth:0, assignedCluster:3}
, {tweetId:1282, tweet:happy thanksgiving won lottery geography time family friends favorite place earth, groundTruth:0, assignedCluster:3}
, {tweetId:1293, tweet:happy thanksgiving enjoy familybe fucking bloated, groundTruth:0, assignedCluster:3}
, {tweetId:1295, tweet:walking freedom trail 2nd boston thanksgiving lovely, groundTruth:0, assignedCluster:3}
, {tweetId:1299, tweet:happy thanksgiving great former trojans today #weare, groundTruth:0, assignedCluster:3}
, {tweetId:1303, tweet:ppl wear jeans thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1307, tweet:happy vapesgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1314, tweet:happy thanksgiving anabelle badly taste asshole suck pussy lips send email, groundTruth:0, assignedCluster:3}
, {tweetId:1319, tweet:happy yall, groundTruth:0, assignedCluster:3}
, {tweetId:1325, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1326, tweet:happy thanksgiving austin, groundTruth:0, assignedCluster:3}
, {tweetId:1337, tweet:qualitative researcher moment joy thinking followed realizing did follow, groundTruth:0, assignedCluster:3}
, {tweetId:1347, tweet:wishing celebrate fabulous friends family loved ones happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1349, tweet:happy thanksgiving don forget serving country won home holidays, groundTruth:0, assignedCluster:3}
, {tweetId:1369, tweet:thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1372, tweet:organized wellesley fire guard present colors wellesleyneedham thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1378, tweet:thankful happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1387, tweet:happy thanksgiving give thanks safe, groundTruth:0, assignedCluster:3}
, {tweetId:1401, tweet:noticed, groundTruth:0, assignedCluster:3}
, {tweetId:1408, tweet:thanksgiving isn, groundTruth:0, assignedCluster:3}
, {tweetId:1411, tweet:sick thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1412, tweet:happy thanksgiving martin girls dexter maine, groundTruth:0, assignedCluster:3}
, {tweetId:1416, tweet:happy thanksgiving love, groundTruth:0, assignedCluster:3}
, {tweetId:1425, tweet:wonder dave dombrowski eating thanksgiving dinner, groundTruth:0, assignedCluster:3}
, {tweetId:1430, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1442, tweet:thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1455, tweet:pictures chef, groundTruth:0, assignedCluster:3}
, {tweetId:1459, tweet:cheers thanksgiving boston massachusetts, groundTruth:0, assignedCluster:3}
, {tweetId:1460, tweet:fire wasn 5sos, groundTruth:0, assignedCluster:3}
, {tweetId:1464, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1465, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1475, tweet:national dog show underrated part thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1480, tweet:truly sexxy, groundTruth:0, assignedCluster:3}
, {tweetId:1483, tweet:happy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1487, tweet:happy thanksgiving boston tl safe enjoy love yah, groundTruth:0, assignedCluster:3}
, {tweetId:1491, tweet:happy thanksgiving #happythanksgiving #usa, groundTruth:0, assignedCluster:3}
, {tweetId:1495, tweet:happy thanksgiving boston tl safe enjoy love yah, groundTruth:0, assignedCluster:3}
, {tweetId:1521, tweet:happy thanksgiving thankful youtube obsess, groundTruth:0, assignedCluster:3}
, {tweetId:1529, tweet:thanksgiving facebook girls wilding, groundTruth:0, assignedCluster:3}
, {tweetId:1539, tweet:sad cause wasn able overly happy appreciative vision came, groundTruth:0, assignedCluster:3}
, {tweetId:1546, tweet:#hangover feeling right real smffh, groundTruth:0, assignedCluster:3}
, {tweetId:1555, tweet:thanksgiving festivities rockport crew pratty, groundTruth:0, assignedCluster:3}
, {tweetId:1556, tweet:feeling thanksgiving best, groundTruth:0, assignedCluster:3}
, {tweetId:1558, tweet:cheers happy thanksgiving chellis carriage house, groundTruth:0, assignedCluster:3}
, {tweetId:1563, tweet:table wish family happy thanksgiving peaceful food coma, groundTruth:0, assignedCluster:3}
, {tweetId:1564, tweet:thanksgiving dinner cats, groundTruth:0, assignedCluster:3}
, {tweetId:1567, tweet:happy #thanksgiving wish extra stretch waistbands #gravy #turkey #butter, groundTruth:0, assignedCluster:3}
, {tweetId:1576, tweet:happy thotsgiving, groundTruth:0, assignedCluster:3}
, {tweetId:1579, tweet:highly doubtful happy thanksgiving, groundTruth:0, assignedCluster:3}
